Time:by and by,on time,from time to time,now,date,year,day,after,then,now and then
Computer:page,home page,search,web,help,view,online,click,find,name
Quantity:all,one,other,any,some,add,each,many,both,another
School:on time,site,first day,health,support,public,high school,after school,book,group
Mathematics:information,work,data,system,number,review,order,group,design,area
Baseball:home,out,first,game,call,card,team,home team,second,play off
Job Related:name,first name,state,last name,city,good at,high school,full time work,education,design
Building:home,school,university,hotel,store,book store,post office,house,size,shop
Law:contact,services,system,rights,public,order,education,community service,family,code
Corporate:service,buy in,data,product,system,company,item,international,report,national
Happiness:people,health,on top of the world,music,good,high,great,travel,education,family
Sport:home,out,game,board,card games,team,home team,box,World Series,play
Computer:email,data,post,number,message,software,privacy,user,program,real time,development,line,send,type,Internet
Frequency:all the time,all day,now and then,off and on,three times,most times,at times,many times,every time,every year
Algebra:work with,product,number,school,set,map,terms,even,how much,sign
Business:buy,product,support,message,order,report,send,check,own,change
Family:home,support,related,history,children,love,value,friend,single,child
Music:time,click,right,take,control,property,card,left,note,staff
Shopping:service,price,product,store,check,total,shop,directory,return,account
Personal Information:name,health,city,address,office phone,business phone,home phone,house number,current address,number of children
House:home,office,room,family room,table,library,TV room,study,mobile home,key
Money Related:business,buy,check,security,change,rate,money,save,value,sale
Geography:world,city,map,International Date Line,area,south,north,country,source,west
Geometry:web,center,line,right,type,area,form,point,model,range
Age:new,current,old,advanced,recent,young,mature,modern,fresh,vintage
Physics:system,research,university,development,open,power,current,control,guide,level
Mobile Phone:number,message,store,area,phone,game,download,text,digital,application
Military:service,general,file,section,house,national security,guide,level,private,man
Vacation:video,map,hotel,travel,car,pictures,guide,return,visit,room
School:university,map,world map,games,office,education,project,sports,open house,computer,think,history,art,directory,location
Weather:high,research,great,report,technology,power,current,water,low,conditions
Finance:product,public,member,index,rate,government,account,call,money,quality
Thanksgiving:home,family,American,November,friends,thanks,holiday,Thursday,Fall,parents
Visual Arts:video,line,design,photo,media,art,form,image,still life,tools
Birthday:year,day,games,children,card,play,party,give,age,gift
Accounting:price,book,report,change,account,stock,plan,cost,paper,interest
Reading:books,well read,special,pages,power,history,change,author,study,interest
Month:May,January,December,June,October,November,March,September,July,April,August,February
Subject:health,music,law,history,art,science,computer science,English,social studies,language arts
Computer:area,code,website,file,link,open,version,security,network,computer,computer program,download,access,media,text,digital,profile,title,property,visit
Number:one,two,three,four,million,five,six,ten,seven,eight
Travel:date,city,hotel,travel,rate,class,space,conference,transfer,agent
Dentist:health,local,office,education,open,white,insurance,gold,treatment,face
Design:line,type,design,file,guide,value,print,point,register,space
Restaurant:order,check,special,water,food,course,main course,credit card,table,hot
Book:page number,copyright,index,text,title,title page,best seller,picture book,reference book,cover
History:time,date,age,journal,archive,calendar,culture,classic,century,biography
Kitchen:can,food,table,range,island,kitchen island,cup,basket,ice box,waste basket
Job Related:address,phone number,family name,area code,control,guide,children,country,down tools,college,job,part time job,second job,cost,test
