Degree:degree,master,certificate,doctor,bachelor,diploma
Mineral:emerald,quartz,graphite,agate,bismuth,halite
Salad Dressing:oil and vinegar,house dressing,blue cheese,thousand island,French dressing,ranch,vinegar
Bill:write a check,account number,check book,credit card,amount due,cash,overdue
Continent:South America,North America,Australia,Europe,Africa,Asia,Antarctica
Day of Week:Friday,Monday,Sunday,Tuesday,Saturday,Thursday,Wednesday
Money:bill,quarter,dollar,cent,coin,penny,nickel,dime
Storage:bureau,cabinet,chest,buffet,bookshelf,bookcase,sideboard,credenza
Luggage:carry on bag,makeup case,tote bag,garment bag,duffle bag,luggage carrier,trunk,suitcase,knapsack
New Year:January,December,party,calendar,holiday,resolution,midnight,celebrate,countdown
Football:end,middle guard,guard,tackle,quarterback,linebacker,cornerback,fullback,halfback
Headgear:baseball cat,cap,hat,ear muffs,helmet,scarf,bandana,beret,hardhat
Linguistics:regular,marked,descriptive,taxonomic,figurative,generative,unproductive,diachronic,synchronic
Harbor:ship,dock,crane,lighthouse,wharf,buoy,shipyard,breakwater,tugboat
Prepositions:of,to,in,alongside of,for,on,by,with,from,at
Family Related:do the laundry,make the bed,buy the groceries,clean the house,clean the room,pay the bills,walk the dog,take out garbage,fix things,iron clothes
Frequency:all the time,on the first of every month,off and on,now and then,once in a while,once in a blue moon,every now and then,once a year,a few times,twice a month
Time Related:in the mornings,by and by,now and then,once in a while,in a few minutes,from time to time,for a long time,once upon a time,after,later than
Place Related:to,outside of,next to,on top of,on,up,out,over,under,off
Crime:break the law,break in,commit a crime,get away with,hold up,break out,get away,police car,store detective,legal
Job Related:date of birth,next of kin,reason for leaving,first name,date,name,state,last name,city,family name
Quantity:lots of,all,one,other,any,some,add,each,many,both
Corporate:buy in,information,service,data,product,system,item,international,report,national
State:district of columbia,new york,new mexico,new hampshire,south carolina,north carolina,south dakota,texas,north dakota,washington
Hotel:check in,single with bath,information desk,room service,hotel,service charge,room number,gift shop,single room,tax
Sport:track and field,home,out,game,team,box,play,car racing,field,club
Airport:check in,time difference,departure time,time zones,boarding time,security check,body check,personal effects,baggage claim check,customs officer
House:chest of drawers,mobile home,office,house,room,book shelf,TV room,table,study,sun room
